filename,detector,pixel_x,pixel_y,ra_deg,dec_deg
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3783.368421,1123.157895,269.7020170566,66.0079063261
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3988.000000,1123.157895,269.6866340620,66.0079114177
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,100.000000,1327.789474,269.9793041520,66.0140030109
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,304.631579,1327.789474,269.9638786258,66.0140031601
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,509.263158,1327.789474,269.9484532425,66.0140035987
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,713.894737,1327.789474,269.9330284073,66.0140042835
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,918.526316,1327.789474,269.9176044566,66.0140051805
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1123.157895,1327.789474,269.9021816658,66.0140062638
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1327.789474,1327.789474,269.8867602587,66.0140075156
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1532.421053,1327.789474,269.8713404152,66.0140089258
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1737.052632,1327.789474,269.8559222804,66.0140104907
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,1941.684211,1327.789474,269.8405059730,66.0140122135
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2146.315789,1327.789474,269.8250915935,66.0140141031
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2350.947368,1327.789474,269.8096792332,66.0140161740
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2555.578947,1327.789474,269.7942689821,66.0140184457
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2760.210526,1327.789474,269.7788609382,66.0140209423
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,2964.842105,1327.789474,269.7634552154,66.0140236918
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3169.473684,1327.789474,269.7480519523,66.0140267259
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3374.105263,1327.789474,269.7326513206,66.0140300797
.data/build21/r0000101001001001001_0001_wfi01_f158_cal.asdf,wfi01,3578.736842,1327.789474,269.7172535339,66.0140337906
